workload_id,cpu_usage_percent,memory_usage_percent,runtime_hours_24h,storage_gb,request_count_24h,error_rate_percent,latency_ms,cost_24h,cost_30d_forecast,energy_kwh_24h,carbon_kgco2e_24h,carbon_intensity_gco2_per_kwh,environment,cloud_service_type,workflow_criticality,public_exposure,monitoring_enabled,cost_30d,energy_kwh_30d,carbon_kgco2e_30d
wl-field-app-001,33.76,55.63,24.0,70.73,33722,0.841,140.51,22.07,718.45,10.935,4.477,409.45,0,1,1,0,1,711.83,373.314,135.019
wl-field-app-001,34.84,52.77,21.7,113.18,49375,0.741,129.57,21.75,612.67,8.811,3.966,450.1,0,1,1,0,1,661.23,228.727,107.55
wl-field-app-001,42.58,66.06,23.02,92.32,39827,0.997,183.87,23.43,726.82,9.78,3.973,406.26,0,1,1,0,1,705.06,334.893,130.531
wl-field-app-001,43.26,45.01,24.0,101.75,52733,1.079,156.71,27.04,837.95,11.515,4.977,432.27,0,1,1,0,1,889.73,388.016,150.908
wl-field-app-001,36.17,47.94,24.0,87.01,62103,0.261,139.95,26.27,757.22,11.075,4.6,415.34,0,1,1,0,1,678.41,333.21,127.666
wl-field-app-001,38.85,40.43,21.28,86.21,56214,0.846,170.71,23.05,678.53,10.045,3.978,395.99,0,1,1,0,1,784.76,273.768,102.383
wl-field-app-001,37.71,41.03,24.0,92.96,50156,0.954,163.4,25.01,769.9,10.08,4.353,431.82,0,1,1,0,1,732.82,266.307,116.385
wl-field-app-001,34.02,53.0,21.83,94.33,66240,0.686,172.13,21.55,698.68,8.298,3.148,379.38,0,1,1,0,1,652.77,229.231,90.389
wl-field-app-001,41.43,45.54,20.53,101.08,43381,0.874,150.66,21.98,648.42,8.424,3.896,462.54,0,1,1,0,1,570.2,258.511,112.856
wl-field-app-001,42.14,60.97,21.15,90.4,38417,0.675,108.7,22.86,683.45,8.31,3.58,430.83,0,1,1,0,1,770.89,219.113,109.585
wl-field-app-001,57.48,53.11,21.63,68.02,53346,0.54,137.54,27.5,890.34,12.861,5.015,389.92,0,1,1,0,1,741.73,402.758,133.59
wl-field-app-001,37.08,49.6,24.0,101.95,62284,0.64,114.45,23.26,743.85,12.674,4.795,378.34,0,1,1,0,1,790.56,365.393,170.254
wl-field-app-001,42.31,48.83,23.9,90.18,55575,0.654,113.23,26.93,871.17,12.774,4.702,368.08,0,1,1,0,1,939.48,395.332,135.497
wl-field-app-001,41.32,46.92,24.0,106.43,69196,0.859,113.27,30.64,855.48,12.847,4.691,365.12,0,1,1,0,1,839.02,408.443,162.686
wl-field-app-001,48.43,43.29,24.0,94.08,49935,0.748,160.13,28.61,793.25,12.572,5.735,456.17,0,1,1,0,1,881.51,412.249,181.24
wl-field-app-001,34.73,47.49,24.0,80.1,50382,0.645,140.17,25.72,738.52,11.528,5.105,442.89,0,1,1,0,1,905.46,296.962,159.951
wl-field-app-001,41.06,41.87,24.0,103.42,81468,1.401,124.4,22.39,606.85,10.282,4.119,400.57,0,1,1,0,1,596.53,351.725,139.482
wl-field-app-001,27.12,48.78,21.45,92.06,39039,0.77,97.27,24.08,757.83,7.206,2.608,361.88,0,1,1,0,1,820.38,191.719,68.319
wl-field-app-001,37.79,52.56,24.0,85.2,46934,1.049,163.04,24.95,676.69,9.086,3.613,397.66,0,1,1,0,1,650.61,248.366,94.165
wl-field-app-001,42.83,57.6,24.0,105.28,50664,0.8,128.35,26.47,805.56,13.471,5.663,420.38,0,1,1,0,1,790.82,350.482,166.623
wl-field-app-001,41.57,41.66,24.0,103.94,56001,0.242,177.82,23.44,742.6,10.47,4.449,424.9,0,1,1,0,1,755.94,352.621,119.728
wl-field-app-001,38.49,51.14,24.0,61.5,47039,0.856,158.88,21.01,596.52,10.967,4.363,397.8,0,1,1,0,1,616.76,321.846,126.249
wl-field-app-001,39.63,42.1,23.2,119.5,57283,1.354,185.32,29.3,932.57,10.852,4.606,424.4,0,1,1,0,1,911.1,348.86,131.384
wl-field-app-001,45.94,41.16,24.0,97.14,64640,1.04,204.62,23.29,762.71,11.435,4.963,433.97,0,1,1,0,1,789.63,362.888,167.327
wl-field-app-001,35.81,42.4,24.0,81.75,41610,0.9,184.66,19.05,601.67,10.61,4.562,429.97,0,1,1,0,1,645.64,325.389,145.053
wl-field-app-001,36.45,54.43,20.2,122.14,54604,1.071,132.87,23.2,732.55,8.937,3.903,436.69,0,1,1,0,1,657.51,262.068,112.404
wl-field-app-001,39.08,52.88,24.0,84.12,48437,1.274,127.69,26.18,765.85,11.593,4.44,383.03,0,1,1,0,1,938.64,382.987,157.579
wl-field-app-001,43.32,67.46,23.51,69.95,70053,0.654,153.24,22.11,657.74,9.596,4.347,452.95,0,1,1,0,1,666.43,275.127,152.757
wl-field-app-001,41.66,39.4,18.46,100.82,44102,0.947,171.06,21.84,593.54,8.652,3.587,414.53,0,1,1,0,1,612.21,233.617,120.708
wl-field-app-001,44.92,47.05,24.0,96.01,48530,1.065,90.21,23.29,636.72,8.733,3.209,367.48,0,1,1,0,1,789.63,307.753,107.846
wl-field-app-001,46.54,59.96,23.83,120.3,51151,0.532,132.17,25.16,786.42,11.092,4.009,361.44,0,1,1,0,1,900.45,354.079,104.528
wl-field-app-001,33.76,53.56,23.69,72.54,61603,0.606,133.98,22.25,685.65,10.343,3.878,374.91,0,1,1,0,1,701.05,279.521,137.407
wl-field-app-001,37.94,38.92,24.0,95.03,63932,0.923,146.07,30.27,841.62,12.745,5.371,421.44,0,1,1,0,1,860.24,365.776,161.101
wl-field-app-001,42.0,49.81,24.0,87.5,30130,0.137,116.48,25.72,729.22,13.178,5.205,394.96,0,1,1,0,1,810.42,414.339,171.091
wl-field-app-001,38.29,51.39,24.0,94.91,63298,0.435,150.19,26.0,840.15,12.114,5.999,495.2,0,1,1,0,1,914.3,372.961,185.74
wl-field-app-001,35.32,53.23,21.96,109.98,63566,0.917,141.41,21.79,685.32,10.243,4.352,424.89,0,1,1,0,1,558.92,350.168,150.125
wl-field-app-001,48.18,56.71,22.27,77.46,12943,0.626,222.61,24.77,773.75,11.443,4.855,424.26,0,1,1,0,1,732.62,368.795,124.344
wl-field-app-001,44.74,52.58,24.0,89.67,61222,1.321,120.9,30.93,918.34,11.152,4.248,380.88,0,1,1,0,1,916.25,293.745,142.0
wl-field-app-001,41.55,61.74,23.13,85.88,44392,0.945,103.03,24.04,720.33,11.804,5.086,430.91,0,1,1,0,1,634.34,331.198,174.756
wl-field-app-001,41.49,48.66,23.39,97.61,52542,0.477,171.21,26.67,843.06,11.296,4.877,431.74,0,1,1,0,1,918.65,347.91,170.931
wl-field-app-001,35.48,42.26,21.01,86.67,49116,0.907,151.53,23.49,637.85,9.645,3.712,384.89,0,1,1,0,1,827.91,291.339,106.65
wl-field-app-001,31.31,49.49,24.0,86.5,52373,0.334,190.09,22.83,715.02,10.112,4.56,450.93,0,1,1,0,1,812.93,340.886,157.776
wl-field-app-001,44.29,64.98,21.18,87.44,52943,1.316,113.33,28.32,771.68,8.334,3.485,418.17,0,1,1,0,1,953.42,255.373,124.933
wl-field-app-001,41.45,36.69,24.0,91.34,65930,0.599,130.9,28.35,828.76,11.466,4.904,427.75,0,1,1,0,1,737.34,305.533,159.84
wl-field-app-001,31.46,53.35,22.06,80.76,58922,0.877,131.58,20.62,620.32,9.015,4.125,457.6,0,1,1,0,1,672.36,232.693,122.583
wl-field-app-001,37.53,60.22,21.5,63.81,70136,1.616,137.84,21.88,707.29,9.141,3.167,346.47,0,1,1,0,1,601.15,241.243,92.134
wl-field-app-001,31.03,55.24,24.0,102.58,45783,0.755,168.46,23.72,711.2,9.344,3.301,353.23,0,1,1,0,1,638.36,274.13,86.497
wl-field-app-001,43.52,52.4,21.91,102.66,65156,0.696,99.24,22.37,724.53,9.897,4.052,409.42,0,1,1,0,1,625.78,286.174,142.001
wl-field-app-001,36.86,30.76,24.0,104.09,41076,0.379,175.07,30.98,983.58,10.862,4.578,421.46,0,1,1,0,1,1044.87,326.968,139.624
