workload_id,workload_type,cloud_service_type,environment,region,workflow_criticality,vulnerability_severity,public_exposure,public_storage,monitoring_enabled,access_anomaly_detected,cpu_usage_percent,memory_usage_percent,runtime_hours_24h,storage_gb,request_count_24h,error_rate_percent,latency_ms,cost_per_hour,cost_24h,cost_30d_forecast,energy_kwh_24h,carbon_kgco2e_24h,carbon_intensity_gco2_per_kwh,environment_encoded,cloud_service_type_encoded,workflow_criticality_encoded,vulnerability_severity_encoded,workload_type_encoded,region_encoded,public_exposure_encoded,public_storage_encoded,monitoring_enabled_encoded,target_cost_30d,target_energy_kwh_30d,target_carbon_kgco2e_30d
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,49.755,55.552,25.441,83.762,81101.708,0.27,142.148,3.139,79.859,2395.77,44.924,22.65,504.188,3,1,2,1,0,0,1,0,1,2347.326,1582.719,730.702
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,54.493,64.899,22.35,81.475,103425.141,0.488,139.161,3.165,70.738,2122.14,41.936,22.961,547.527,3,1,2,1,0,0,1,0,1,2467.184,1412.112,632.431
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,51.066,64.266,24.792,81.723,173187.071,0.359,131.394,3.044,75.467,2264.01,47.772,26.063,545.573,3,1,2,1,0,0,1,0,1,2027.359,1456.802,726.703
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,51.747,66.608,25.043,77.338,130223.63,0.412,143.674,3.367,84.32,2529.6,46.006,24.667,536.176,3,1,2,1,0,0,1,0,1,2156.678,1553.287,801.207
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,39.607,60.018,23.097,77.444,118809.299,0.549,125.454,3.386,78.206,2346.18,37.427,19.275,515.008,3,1,2,1,0,0,1,0,1,2515.46,1171.936,604.689
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,52.57,59.838,23.112,83.432,120695.653,0.272,120.961,3.023,69.868,2096.04,47.237,24.798,524.974,3,1,2,1,0,0,1,0,1,2267.225,1480.825,836.46
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,51.603,60.082,24.877,77.352,116831.288,0.362,119.91,3.293,81.92,2457.6,42.888,22.399,522.261,3,1,2,1,0,0,1,0,1,2219.973,1407.214,676.106
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,47.433,59.376,23.847,73.251,92439.969,0.268,123.246,3.277,78.147,2344.41,40.925,21.04,514.104,3,1,2,1,0,0,1,0,1,2788.0,1378.226,694.895
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,42.622,60.726,22.176,78.644,143906.933,0.227,147.298,3.246,71.983,2159.49,42.326,20.816,491.806,3,1,2,1,0,0,1,0,1,2408.872,1399.059,625.25
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,48.126,71.931,23.54,75.906,129033.702,0.422,162.834,3.36,79.094,2372.82,46.606,25.752,552.554,3,1,2,1,0,0,1,0,1,2504.928,1271.935,906.825
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,45.755,53.465,25.219,79.111,91906.858,0.298,145.267,3.361,84.761,2542.83,53.985,31.465,582.841,3,1,2,1,0,0,1,0,1,2996.062,1700.697,958.79
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,49.542,56.96,23.203,77.552,121832.205,0.507,142.638,3.17,73.554,2206.62,40.34,19.647,487.033,3,1,2,1,0,0,1,0,1,2394.809,1147.792,637.033
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,58.183,62.808,25.887,78.003,98338.765,0.303,127.816,3.609,93.426,2802.78,41.304,22.284,539.508,3,1,2,1,0,0,1,0,1,2693.468,1466.517,636.312
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,47.098,61.747,22.743,81.784,114762.872,0.277,118.531,3.233,73.528,2205.84,52.106,27.373,525.341,3,1,2,1,0,0,1,0,1,2564.744,1612.577,788.815
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,49.264,59.452,26.124,81.715,159554.51,0.418,119.429,2.937,76.726,2301.78,52.429,29.255,557.99,3,1,2,1,0,0,1,0,1,2080.002,1435.628,930.119
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,41.623,56.453,25.235,78.422,124884.758,0.384,145.671,3.47,87.565,2626.95,45.408,24.313,535.445,3,1,2,1,0,0,1,0,1,2344.924,1399.314,797.217
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,40.98,56.555,23.358,83.664,95156.164,0.403,131.866,3.137,73.274,2198.22,49.512,26.402,533.236,3,1,2,1,0,0,1,0,1,2603.722,1411.473,929.627
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,46.711,63.503,24.339,75.662,127036.02,0.423,182.294,3.56,86.647,2599.41,41.16,21.239,515.999,3,1,2,1,0,0,1,0,1,2634.719,1388.739,545.572
wl-field-app-001,Field App,container,production,ap-southeast-1,high,low,True,False,True,False,54.946,57.48,22.744,71.411,121340.017,0.294,131.105,3.032,68.96,2068.8,44.576,21.633,485.299,3,1,2,1,0,0,1,0,1,2087.138,1252.689,605.399
